PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
90,2026-07-21,19:22:31.83,2,1,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.39572,-2.250171,-3.706906,2499.569443,194.230326,12:30,5.59498,2.23269,5.832,-17.87229,17.06591,4.06284,2.00858,-0.87919,82.31992,-5.608719,-2.980993,0.425424,,,,,,,,,,,,-3.02473,9.62359,-1.93227,50,5.40036,8.2247,-129.5994,-5.6509,-5.18447,25.10851,-15.67899,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,6e4ccee0-8563-11f1-a17b-7db4bab88cfd,88.59971,,,7.0758,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:22:31.83,2026-07-21T19:22:31.8304768-05:00,2026-07-22T00:22:31.8304768Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,e4d58797-b70a-4730-86f8-7713e9ee53b1,54.66627,-130.50031,12.55426,5.59303,-5.08833,-7.8395,-2.23071,8.41072,-2.59223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
91,2026-07-21,19:22:48.52,2,2,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.72214,-0.111708,-2.586028,2473.874149,195.500368,12:30,5.6174,2.27149,5.78791,-20.08237,15.52922,3.99941,3.83984,0.19738,81.10151,-3.893769,-1.870838,0.429504,,,,,,,,,,,,-2.73351,8.27697,-2.06074,50,5.59615,5.64268,-128.7559,-0.87987,-4.59729,26.26676,-18.25358,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,783f31e0-8563-11f1-a17b-7db4bab88cfd,87.75807,,,7.62063,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:22:48.52,2026-07-21T19:22:48.5247488-05:00,2026-07-22T00:22:48.5247488Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,84cb0d73-ddf7-4bea-aee3-c695dc73320f,54.70866,-129.71293,13.13338,5.61609,-0.2148,-9.12679,-2.26939,5.81018,-2.29865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
92,2026-07-21,19:23:04.82,2,3,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.68398,-0.724152,-3.156596,2532.416722,197.576963,12:30,5.55301,2.25434,5.85849,-19.38265,16.02816,4.74339,3.26396,-0.28601,81.49213,-4.37052,-2.307881,0.428292,69.45079,38.150889,155.506618,4366.495154,-103.31696,47.25223,37.75681,213.95357,78.32553,161.407556,3.237587,-3.26374,8.72623,-2.00088,50,5.48289,6.90457,-128.73884,-2.23095,-5.51152,25.16856,-17.438,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,81fa3130-8563-11f1-a17b-7db4bab88cfd,88.0065,47.25204,,7.19184,,,,0.82539,3.10801,0.22778,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:23:04.82,2026-07-21T19:23:04.8290816-05:00,2026-07-22T00:23:04.8290816Z,FlyBall,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,6388034f-586a-4b9e-9fc0-5466cd89dbab,54.64076,-129.64294,12.58428,5.55178,-1.60454,-8.719,-2.25246,7.10255,-2.75576,317.262086,0.82593,-72.91696,2.25763,0.38954,0.34167,-0.50113,0.24417,-0.05225,0.00413,3.10777,62.93245,-26.23641,3.4918,-0.88368,0.31456,-0.11187,0.02356,-0.002,0.22869,33.17971,-8.66695,2.66134,-0.41287,0.04134,-0.05329,0.02365,-0.00291,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
93,2026-07-21,19:23:24.92,2,4,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.0518,-1.798943,-2.854855,2488.624909,183.520026,12:00,5.50156,2.46373,5.97019,-19.60099,15.51973,0.88748,2.1977,-0.11126,81.65977,-5.488004,-2.695651,0.426533,84.13775,43.506861,48.631078,5520.999391,59.19262,88.13113,92.71559,247.09694,129.32142,65.24714,5.14779,-1.23378,8.80134,-2.23803,50,5.34798,6.40689,-129.21181,-4.66166,-2.09018,26.39534,-17.26323,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,8df0c8a0-8563-11f1-a17b-7db4bab88cfd,88.36926,95.49774,,7.39204,,,,0.14374,2.01387,0.05902,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:23:24.92,2026-07-21T19:23:24.9295360-05:00,2026-07-22T00:23:24.9295360Z,FlyBall,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,17e6ed5f-44b7-4c7b-a1b4-9fdde2414d53,54.52791,-130.13349,13.19767,5.50024,-4.05887,-8.63161,-2.46302,6.47987,-1.04509,212.147849,0.16026,58.80251,-20.61578,4.21024,0.44171,-0.60081,0.17153,-0.02156,0.00103,2.00726,85.06494,-22.69359,1.87909,-0.14089,-0.08523,0.04581,-0.00829,0.00052,0.06144,67.10861,-8.78914,0.88064,0.37534,-0.25527,0.06924,-0.00902,0.00046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
94,2026-07-21,19:23:45.09,2,5,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39,0.816047,-1.372721,2471.774113,193.19694,12:30,5.61553,2.30394,5.79559,-19.88186,15.76328,3.45229,4.71803,1.31454,81.13302,-2.926449,-0.754607,0.429706,,,,,,,,,,,,-2.10516,8.14477,-2.19309,50,5.67068,2.92965,-128.42256,1.21015,-3.54102,24.79894,-18.47399,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,99f7dad0-8563-11f1-a17b-7db4bab88cfd,87.71682,,,7.25698,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:23:45.09,2026-07-21T19:23:45.0934784-05:00,2026-07-22T00:23:45.0934784Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,7f6b6c48-c305-4080-b6bf-591b4612dfa9,54.70155,-129.32726,12.39947,5.61424,1.88411,-9.237,-2.30232,3.05883,-1.77051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
95,2026-07-21,19:24:03.24,2,6,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.99657,-1.424866,-3.931438,2537.100756,198.048968,12:30,5.49981,2.31044,5.83015,-21.82379,13.42202,4.03339,2.35328,-1.01366,81.95524,-5.492382,-3.211086,0.427292,88.56616,25.69672,48.856183,5279.91587,62.29817,46.80906,90.65776,290.43618,179.65353,68.778536,4.45952,-3.08272,7.55493,-1.99152,50,5.37031,8.70177,-129.05795,-3.92737,-5.23715,25.0304,-19.3392,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,a4c95330-8563-11f1-a17b-7db4bab88cfd,88.21229,57.97108,,7.04134,,,,-0.18831,2.42197,1.11514,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:24:03.24,2026-07-21T19:24:03.2430080-05:00,2026-07-22T00:24:03.2430080Z,FlyBall,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,faf5a8fb-43e5-4f0e-bb28-0be47384fa48,54.66894,-129.96032,12.5152,5.49933,-3.23017,-9.6696,-2.30864,8.89057,-2.61857,,-0.16729,76.49141,-21.56574,0.81826,3.62109,-2.42184,0.76136,-0.12075,0.00772,2.43211,56.09144,-14.58229,-1.36291,1.90883,-0.96239,0.26707,-0.03805,0.00214,1.13293,87.73988,-5.68092,-3.41799,3.36601,-1.61783,0.43096,-0.05951,0.00329,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
96,2026-07-21,19:24:23.71,2,7,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.64315,-2.439543,-3.894314,2480.765135,190.709032,12:15,5.5122,2.25259,6.01994,-17.13934,17.47938,3.10402,1.81773,-1.10138,82.33772,-5.68036,-3.338044,0.423474,,,,,,,,,,,,-2.63504,9.97914,-1.94888,50,5.31123,8.71601,-129.91645,-6.04738,-4.52342,26.09233,-15.04341,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,b1024ad0-8563-11f1-a17b-7db4bab88cfd,89.00767,,,7.30543,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:24:23.71,2026-07-21T19:24:23.7191680-05:00,2026-07-22T00:24:23.7191680Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,7cbd8e6e-8293-4090-9fdb-3cb265ef8a28,54.47844,-130.8128,13.04617,5.5101,-5.53059,-7.52171,-2.25097,8.8714,-2.26171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
97,2026-07-21,19:24:40.22,2,8,"Anderson , Shane ",10991107,Right,LAK_COU10,"Olund, Alec",10000829,Right,MIL_MIL1,Undefined,3,Bottom,1,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,89.66508,-2.541073,-3.282345,2572.503783,201.55881,12:45,5.48701,2.2432,6.0729,-18.53347,16.03721,5.90516,1.58585,-0.30524,82.19233,-6.040722,-2.221222,0.42318,103.39515,14.938577,-1.039208,1633.588106,109.94006,23.06158,3.6281,267.21753,259.57826,5.868149,2.632468,-3.96244,9.31264,-1.99213,50,5.28005,7.21735,-130.02008,-6.33151,-6.79323,26.87765,-16.2085,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,bad5db30-8563-11f1-a17b-7db4bab88cfd,89.06943,25.33512,,7.47275,,,,1.04199,1.56928,0.34869,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:24:40.22,2026-07-21T19:24:40.2237440-05:00,2026-07-22T00:24:40.2237440Z,LineDrive,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,42b12b94-84ce-4c5e-b73e-f78bd303481a,54.42605,-130.93183,13.43883,5.4855,-5.78168,-8.10425,-2.24087,7.44779,-3.39661,236.608804,1.04205,146.49361,-27.20995,5.81034,-1.14296,0.1421,0.00857,-0.00704,0.00084,1.56923,39.09538,-17.2023,1.10061,-0.27252,0.16371,-0.07402,0.01771,-0.00167,0.34858,-2.65121,9.8241,-3.23059,0.67099,0.02883,-0.07788,0.0231,-0.00234,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
98,2026-07-21,19:25:13.34,3,1,"Anderson , Shane ",10991107,Right,LAK_COU10,"Waddell, Chase",1000233818,Left,MIL_MIL1,Undefined,3,Bottom,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39086,-2.865041,-4.918307,2535.233558,212.667025,1:00,5.50711,2.32412,6.05996,-20.03477,15.48658,9.24717,1.17382,-1.4686,81.52316,-6.618924,-3.262407,0.428959,,,,,,,,,,,,-6.00677,9.04044,-1.94637,50,5.2729,10.63558,-127.94589,-7.02962,-10.04703,24.16565,-17.05288,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,ce958d00-8563-11f1-a17b-7db4bab88cfd,87.86951,,,6.86769,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:25:13.34,2026-07-21T19:25:13.3454336-05:00,2026-07-22T00:25:13.3454336Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,775f21cd-afb9-4b3b-aae6-18b1c39dda57,54.43887,-128.78155,12.08282,5.5058,-6.43992,-8.52644,-2.32016,10.98301,-5.02352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
99,2026-07-21,19:25:29.77,3,2,"Anderson , Shane ",10991107,Right,LAK_COU10,"Waddell, Chase",1000233818,Left,MIL_MIL1,Undefined,3,Bottom,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.33464,-2.699576,-2.545141,2541.781456,193.975661,12:30,5.4893,2.57549,5.96009,-18.99816,15.89052,3.68544,1.39852,0.52099,82.06817,-6.270703,-1.883563,0.425122,,,,,,,,,,,,-2.58477,9.22871,-2.37551,50,5.26411,5.60934,-129.6006,-6.69796,-4.41099,26.23049,-16.42492,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,d85d0f70-8563-11f1-a17b-7db4bab88cfd,88.66258,,,7.26647,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:25:29.77,2026-07-21T19:25:29.7778176-05:00,2026-07-22T00:25:29.7778176Z,,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,345ddb05-8936-4cbe-8207-ed177ccf86a8,54.53868,-130.51598,13.11524,5.48785,-6.12478,-8.21246,-2.57394,5.76327,-2.2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
100,2026-07-21,19:25:47.34,3,3,"Anderson , Shane ",10991107,Right,LAK_COU10,"Waddell, Chase",1000233818,Left,MIL_MIL1,Undefined,3,Bottom,2,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.83243,-1.55981,-2.403713,2484.631726,199.910043,12:45,5.47167,2.5193,6.10312,-20.5684,14.37501,4.82823,2.31352,0.69742,81.74722,-5.427574,-1.534566,0.425455,74.79372,5.654595,-170.704681,1035.846375,,,,103.08964,56.57026,-170.060441,1.08561,-3.12906,8.15941,-2.337,50,5.34076,5.22292,-129.0395,-4.14186,-5.30763,25.34329,-18.33362,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,e2d56b50-8563-11f1-a17b-7db4bab88cfd,88.59314,4.57119,,7.08521,,,,0.84025,2.11871,-0.63882,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:25:47.34,2026-07-21T19:25:47.3433088-05:00,2026-07-22T00:25:47.3433088Z,GroundBall,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,c2f48610-6816-4223-b18b-3800c76a0843,54.39585,-129.89997,12.67165,5.47082,-3.51938,-9.16681,-2.5174,5.40313,-2.65381,184.014292,0.84025,-107.73006,14.92065,-2.83367,0.52723,-0.09729,0.01866,-0.00324,0.00034,2.11871,10.8086,-12.01653,0.2419,0.00248,-0.00472,0.0027,-0.00051,5E-05,-0.63882,-17.63243,2.05157,-0.40536,0.07551,-0.01409,0.00269,-0.00046,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
101,2026-07-21,19:26:08.29,3,4,"Anderson , Shane ",10991107,Right,LAK_COU10,"Waddell, Chase",1000233818,Left,MIL_MIL1,Undefined,3,Bottom,2,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.31773,-1.786179,-3.081232,2569.836601,189.234181,12:15,5.48759,2.32335,6.01473,-18.02682,16.87532,2.56465,2.32783,-0.31992,81.76367,-5.199808,-2.620946,0.425204,82.78259,-29.52147,55.026221,,,,,5.50439,5.50439,42.395899,0.039221,-2.17689,9.52378,-2.08299,50,5.33748,6.87013,-129.57536,-4.57826,-3.70367,26.89349,-15.97075,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,ef513850-8563-11f1-a17b-7db4bab88cfd,88.64552,2.35214,,7.55406,,,,1.68407,2.35214,0.30768,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:26:08.29,2026-07-21T19:26:08.2905088-05:00,2026-07-22T00:26:08.2905088Z,GroundBall,v3,,,,"Feliciano, Mario",666128,Right,LAK_COU10,d519c7fa-355d-447c-a4d2-6394757d33f7,54.48377,-130.50266,13.44674,5.48585,-4.02759,-7.98538,-2.32208,6.99783,-1.85184,,1.68315,60.70592,,,,,,,,2.35305,-59.97156,,,,,,,,0.30636,86.78153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
102,2026-07-21,19:28:59.01,1,1,"Diaz, Juan",673215,Left,MIL_MIL1,"Roberts, Brett",689355,Right,LAK_COU10,Undefined,4,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.96657,-0.721831,3.790639,1538.304078,86.563891,9:00,5.61042,-1.29011,4.98213,-45.62199,0.50807,-14.01985,1.12539,1.1265,73.2025,-8.932351,1.317986,0.488836,,,,,,,,,,,,8.01063,0.74409,0.93642,50,5.50284,-7.02639,-114.49837,-3.07554,10.72072,19.53004,-31.1782,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,55188490-8564-11f1-a17b-7db4bab88cfd,77.10648,,,5.76408,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:28:59.01,2026-07-21T19:28:59.0110000-05:00,2026-07-22T00:28:59.0110000Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,eb7ca52e-a37f-4539-9ff7-ec7e405739a7,55.51999,-115.43608,9.76502,5.61457,-1.57856,-15.5891,1.28615,-7.54113,5.36036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
103,2026-07-21,19:29:10.92,1,2,"Diaz, Juan",673215,Left,MIL_MIL1,"Roberts, Brett",689355,Right,LAK_COU10,Undefined,4,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.51611,-2.743459,3.058638,2003.117829,137.721029,10:30,5.79782,-0.9119,5.36604,-22.7308,13.18729,-11.09993,1.32553,1.03378,82.34865,-6.912969,1.087937,0.431348,,,,,,,,,,,,6.33528,7.57504,0.6456,50,5.53502,-6.38706,-128.44177,-6.97302,10.76613,22.29337,-19.30107,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,5c2b9560-8564-11f1-a17b-7db4bab88cfd,87.38284,,,6.16746,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:29:10.92,2026-07-21T19:29:10.9240000-05:00,2026-07-22T00:29:10.9240000Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,74701954-19cf-4f08-85c7-905d1d292c2f,55.13509,-129.32998,11.14668,5.79752,-6.20403,-9.65054,0.90862,-6.81601,5.38306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
104,2026-07-21,19:29:25.88,1,3,"Diaz, Juan",673215,Left,MIL_MIL1,"Roberts, Brett",689355,Right,LAK_COU10,Undefined,4,Top,0,2,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.09307,-0.864444,2.778742,2053.275543,126.900956,10:15,5.77102,-0.94023,5.38771,-23.5736,12.13272,-14.72497,2.99532,0.43918,81.85672,-5.225257,0.163096,0.430075,110.87749,15.171691,-24.503238,1798.02325,96.82751,25.46878,-52.19582,298.26903,295.72514,-34.505023,2.783295,8.17189,6.65138,0.70273,50,5.67723,-5.62843,-129.30381,-2.79279,13.91897,25.43326,-20.84497,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,6516c190-8564-11f1-a17b-7db4bab88cfd,87.64158,29.19136,,7.23635,,,,1.26163,2.92649,-0.35921,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:29:25.88,2026-07-21T19:29:25.8830000-05:00,2026-07-22T00:29:25.8830000Z,LineDrive,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,d922ac9c-009d-47cf-9b03-35a4320c4f63,55.11224,-130.30547,12.71663,5.77106,-1.97182,-10.42249,0.9352,-6.17662,6.95949,112.061403,1.26164,142.81623,-33.33487,8.25003,-1.90721,0.38366,-0.06703,0.00829,-0.0005,2.92649,42.55988,-18.75657,1.26598,-0.01775,-0.03719,0.01261,-0.00176,9E-05,-0.35919,-65.0962,-2.7267,3.70697,-1.47158,0.42288,-0.08892,0.01193,-0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
105,2026-07-21,19:30:14.88,2,1,"Diaz, Juan",673215,Left,MIL_MIL1,"Reyes, Ripken",685341,Right,LAK_COU10,Undefined,4,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.61637,0.097054,0.873964,2052.809743,153.847799,11:15,5.86956,-0.73603,5.68203,-19.10403,16.08084,-7.32981,4.36803,-0.53213,81.44167,-3.516443,-0.436256,0.426923,,,,,,,,,,,,3.94988,8.46666,0.66699,50,5.86589,-1.65759,-130.07058,-0.38115,6.7389,28.33104,-17.72901,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,824e9d50-8564-11f1-a17b-7db4bab88cfd,88.28867,,,8.1747,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:30:14.88,2026-07-21T19:30:14.8840000-05:00,2026-07-22T00:30:14.8840000Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,3ec67bc2-c6ab-425a-bd1a-167d00f8430d,54.81371,-131.11487,14.16552,5.86789,0.27236,-8.86451,0.73267,-1.90599,3.36945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
106,2026-07-21,19:30:36.87,2,2,"Diaz, Juan",673215,Left,MIL_MIL1,"Reyes, Ripken",685341,Right,LAK_COU10,Undefined,4,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.11155,-0.02375,2.143771,2063.310905,136.317861,10:30,5.85189,-0.89199,5.66428,-21.81387,14.47052,-12.72713,4.01191,0.0473,80.45694,-4.114157,-0.129182,0.433542,,,,,,,,,,,,7.08835,7.70115,0.7191,50,5.83625,-4.24882,-127.91865,-0.76388,11.74571,26.37151,-19.41297,MIL_MIL1,LAK_COU10,FranklinField,American Association,AABL,20260721-FranklinField-1,8f6d3a00-8564-11f1-a17b-7db4bab88cfd,86.94068,,,7.65461,,,,,,,d30aaa50-e40a-4800-9d68-81ee7d48104e,2026-07-22,00:30:36.87,2026-07-21T19:30:36.8750000-05:00,2026-07-22T00:30:36.8750000Z,,v3,,,,"Waddell, Chase",1000233818,Right,MIL_MIL1,72b01952-e371-4396-8223-b6060e23dc8f,54.83458,-128.91149,13.18576,5.85125,-0.03302,-9.70648,0.88739,-4.69102,5.87285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
